[2025-09-12 21:31:32] BLOCKED (Port): 104.46.162.226:443 -> 192.168.43.197:63620
[2025-09-12 21:31:32] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:31:32] BLOCKED (Port): 192.168.43.197:63596 -> 140.82.114.22:443
[2025-09-12 21:31:32] ALLOWED: 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:32:13] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:32:13] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:32:13] ALLOWED: 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:22] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:22] BLOCKED (Port): 192.168.43.197:63581 -> 23.45.207.201:443
[2025-09-12 21:33:22] ALLOWED (Loopback): 127.0.0.1:49692 -> 127.0.0.1:6850
[2025-09-12 21:33:22] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:22] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:22] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63676
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:22] BLOCKED (Port): 20.189.173.16:443 -> 192.168.43.197:63672
[2025-09-12 21:33:22] BLOCKED (Port): 192.168.43.197:63580 -> 23.45.207.201:443
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
[2025-09-12 21:33:22] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63581
[2025-09-12 21:33:23] BLOCKED (Port): 23.45.207.201:443 -> 192.168.43.197:63580
